district,timestamp,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,weather_main,weather_desc
Chennai,2025-04-07 06:00:00,31.42,35.76,31.42,31.42,1010,60,4.66,98,4,Clear,clear sky
Chennai,2025-04-07 09:00:00,31.46,35.57,31.46,31.53,1009,59,5.12,92,4,Clear,clear sky
Chennai,2025-04-07 12:00:00,30.41,35.03,29.9,30.41,1008,66,4.99,92,5,Clear,clear sky
Chennai,2025-04-07 15:00:00,29.08,34.1,29.08,29.08,1010,76,5.31,96,87,Clouds,overcast clouds
Chennai,2025-04-07 18:00:00,28.55,32.61,28.55,28.55,1010,75,4.5,129,93,Clouds,overcast clouds
Chennai,2025-04-07 21:00:00,28.04,31.59,28.04,28.04,1009,76,2.61,156,70,Clouds,broken clouds
Chennai,2025-04-08 00:00:00,27.56,30.65,27.56,27.56,1010,77,1.97,186,49,Clouds,scattered clouds
Chennai,2025-04-08 03:00:00,29.4,33.21,29.4,29.4,1012,68,1.29,117,37,Clouds,scattered clouds
Chennai,2025-04-08 06:00:00,31.6,35.61,31.6,31.6,1011,58,4.44,96,57,Clouds,broken clouds
Chennai,2025-04-08 09:00:00,31.35,34.33,31.35,31.35,1008,55,4.77,88,9,Clear,clear sky
Chennai,2025-04-08 12:00:00,30.1,33.66,30.1,30.1,1008,63,5.33,76,19,Clouds,few clouds
Chennai,2025-04-08 15:00:00,29.07,33.27,29.07,29.07,1011,72,4.02,79,10,Clear,clear sky
Chennai,2025-04-08 18:00:00,28.56,31.95,28.56,28.56,1011,71,4.34,67,7,Clear,clear sky
Chennai,2025-04-08 21:00:00,27.75,30.43,27.75,27.75,1008,72,0.75,224,4,Clear,clear sky
Chennai,2025-04-09 00:00:00,26.91,29.28,26.91,26.91,1009,77,1.13,294,8,Clear,clear sky
Chennai,2025-04-09 03:00:00,28.62,31.75,28.62,28.62,1011,69,1.74,261,19,Clouds,few clouds
Chennai,2025-04-09 06:00:00,31.45,34.29,31.45,31.45,1010,54,3.46,103,15,Clouds,few clouds
Chennai,2025-04-09 09:00:00,30.84,34.04,30.84,30.84,1007,58,6.76,95,20,Clouds,few clouds
Chennai,2025-04-09 12:00:00,29.97,32.98,29.97,29.97,1006,61,5.14,104,30,Clouds,scattered clouds
Chennai,2025-04-09 15:00:00,28.81,31.97,28.81,28.81,1008,68,4.09,109,16,Clouds,few clouds
Chennai,2025-04-09 18:00:00,28.55,31.61,28.55,28.55,1009,69,3.88,159,52,Clouds,broken clouds
Chennai,2025-04-09 21:00:00,27.9,30.87,27.9,27.9,1006,73,5.15,202,33,Clouds,scattered clouds
Chennai,2025-04-10 00:00:00,27.69,31.2,27.69,27.69,1006,79,4.79,200,47,Clouds,scattered clouds
Chennai,2025-04-10 03:00:00,30.42,35.3,30.42,30.42,1008,67,5.05,221,33,Clouds,scattered clouds
Chennai,2025-04-10 06:00:00,33.56,38.42,33.56,33.56,1006,53,5.17,151,39,Clouds,scattered clouds
Chennai,2025-04-10 09:00:00,33.08,39.01,33.08,33.08,1002,58,8.59,135,52,Clouds,broken clouds
Chennai,2025-04-10 12:00:00,31.32,37.84,31.32,31.32,1002,68,7.21,146,31,Clouds,scattered clouds
Chennai,2025-04-10 15:00:00,30.58,37.58,30.58,30.58,1004,75,7.57,169,62,Clouds,broken clouds
Chennai,2025-04-10 18:00:00,30.01,37.01,30.01,30.01,1004,80,8.03,164,65,Clouds,broken clouds
Chennai,2025-04-10 21:00:00,29.29,35.8,29.29,29.29,1003,81,6.94,187,34,Clouds,scattered clouds
Chennai,2025-04-11 00:00:00,28.96,35.07,28.96,28.96,1004,82,6.86,192,22,Clouds,few clouds
Chennai,2025-04-11 03:00:00,33.02,36.92,33.02,33.02,1006,52,6.38,233,30,Clouds,scattered clouds
Chennai,2025-04-11 06:00:00,36.98,41.17,36.98,36.98,1005,40,1.57,312,25,Clouds,scattered clouds
Chennai,2025-04-11 09:00:00,34.76,40.11,34.76,34.76,1002,50,9.07,124,19,Clouds,few clouds
